,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
566,dependable,dɪˈpendəb(ə)l,,,,,,['adj. 可靠的，可信赖的']
567,dependence,dɪˈpendəns,,,,,,['n. 依赖，依靠；（对毒品或酒精的）瘾，癖']
568,depiction,dɪˈpɪkʃn,depictions,,,,,['n. 描述，描绘']
569,depletion,dɪˈpliːʃn,,,,,,['n. 损耗，耗尽']
570,deploy,dɪˈplɔɪ,,,,,,['v. 部署，调度；利用']
571,deployment,dɪˈplɔɪmənt,deployments,,,,,['n. 有效运用；部署，调动']
572,depot,ˈdepəʊ,depots,,,,,"['n. 仓库，库房；<美>公共汽车站，火车站，航空站；车库，修车厂', '【名】 （Depot）（刚（布））德波特（人名）']"
573,depreciation,dɪˌpriːʃiˈeɪʃn,depreciations,,,,,['n. 贬值，跌价；贬低，轻视']
574,derail,diːˈreɪl,,derails,derailing,derailed,derailed,"['v. （使）脱轨，出轨；阻挠，破坏', 'n. 脱轨器']"
575,derailment,diːˈreɪlmənt,derailments,,,,,['n. 出轨，脱轨']
576,deregulate,ˌdiːˈreɡjuleɪt,,deregulates,deregulating,deregulated,deregulated,['v. 撤销对……的管制，解除控制']
577,deregulation,ˌdiːˌreɡjuˈleɪʃn,,,,,,['n. 撤销管制，解除控制']
578,description,dɪˈskrɪpʃn,descriptions,,,,,['n. 描述，形容，说明；类型']
579,descriptive,dɪˈskrɪptɪv,,,,,,['adj. 描写的，说明的，叙述的；描述性的（学科）']
580,desirability,dɪˌzaɪərəˈbɪləti,desirabilities,,,,,['n. 欲求，希求；性感']
581,desktop,ˈdesktɒp,desktops,,,,,['n. 桌面；台式机']
582,destined,ˈdestɪnd,,,,,,['adj. 指定的，预定的；前往的，被送往的；（命中）注定的，肯定的']
583,detachment,dɪˈtætʃmənt,detachments,,,,,['n. 客观，超然，冷漠；分遣队，独立小分队；拆卸，分离']
584,detailed,ˈdiːteɪld,,,,,,"['adj. 详尽的，详细的；（装饰）精细的，细致的', 'v. 详细说明，详述；（尤指军队中）派遣，选派（detail 的过去式和过去分词形式）']"
585,detention,dɪˈtenʃn,detentions,,,,,['n. 拘留，关押；（作为惩罚的）课后留校']
586,determined,dɪˈtɜːmɪnd,,,,,,"['adj. 下定决心的，坚定的', 'v. 决定，控制；查明，确定；下定决心（determine 的过去式和过去分词形式）']"
587,deterrent,dɪˈterənt,deterrents,,,,,"['n. 威慑，遏制；威慑武器', 'adj. 威慑的，遏制的']"
588,detriment,ˈdetrɪmənt,detriments,,,,,['n. 损害，伤害；造成损害（或损伤）的事物']
589,devastating,ˈdevəsteɪtɪŋ,,,,,,"['adj. 毁灭性的，极具破坏力的；令人极为震惊的；令人印象深刻的，吸引人的；极有效的，强有力的', 'v. 毁灭，破坏；使极度震惊，使伤心欲绝（devastate 的现在分词形式）']"
590,devastation,ˌdevəˈsteɪʃn,,,,,,['n. 毁坏，破坏；荒废']
591,developer,dɪˈveləpə(r),developers,,,,,['n. 开发商，开发公司；开发者，研制者；显影剂，显色剂；（在特定时间或以特定速度）成长（或发育成熟）的人']
592,development,dɪˈveləpmənt,developments,,,,,['n. 发育，成长，发达；发展，进步；动态，进展；开发，研制；研制成果；（土地）开发；新建住宅区，新开发区；开始，出现；显影；出子布局']
593,developmental,dɪˌveləpˈment(ə)l,,,,,,['adj. 发展的，生长的；促使成长的，起改进作用的']
594,devotion,dɪˈvəʊʃn,devotions,,,,,['n. 挚爱，忠诚；奉献；（宗教的）虔诚；祈祷，礼拜']
595,diagnosis,ˌdaɪəɡˈnəʊsɪs,diagnoses,,,,,['n. 诊断，判断']
596,dialogue,ˈdaɪəlɒɡ,dialogues,dialogues,dialoguing,dialogued,dialogued,"['n. 对白；对话，交换意见', 'v. <美>（为解决问题而）参加对话，进行讨论；<美>为（电影、戏剧）配上对白']"
597,diesel,ˈdiːz(ə)l,diesels,diesels,dieseling,dieseled,dieseled,"['n. 柴油；内燃机，柴油车', '【名】  (Diesel）（德）狄塞耳（人名）']"
598,dietary,ˈdaɪətəri,dietaries,,,,,['adj. 饮食的']
599,differentiation,ˌdɪfəˌrenʃiˈeɪʃn,,,,,,['n. 区分，差异化']
600,diffusion,dɪˈfjuːʒn,,,,,,['n. 扩散，传播']
601,digestive,daɪˈdʒestɪv,,,,,,"['adj. 消化的，与消化有关的', 'n. 助消化的食物（或药物）；<英>（全麦）消化饼干']"
602,dignify,ˈdɪɡnɪfaɪ,,dignifies,dignifying,dignified,dignified,['v. 使有尊严，使高贵；使显得堂皇，抬高……的身价']
603,dilution,daɪˈluːʃn; daɪˈljuːʃn,dilutions,,,,,['n. 稀释，冲淡；稀释液；削弱，降低；证券价值耗减']
604,dime,daɪm,dimes,,,,,"['n. （美国、加拿大的）十分硬币；<非正式>小钱，少量的钱；<非正式>（就尺寸、面积或程度而言的）小东西', '【名】 （Dime）（塞）迪梅（人名）']"
605,dimensional,daɪˈmenʃən(ə)l,,,,,,['adj. 维度的']
606,diner,ˈdaɪnə(r),diners,,,,,"['n. 进餐者，食客；小餐馆，小饭店；（火车上的）餐车', '【名】 （Diner）（法）迪内，（德、法、土、罗、塞）迪纳（人名）']"
607,dinosaur,ˈdaɪnəsɔː(r),dinosaurs,,,,,['n. 恐龙；守旧落伍的人，过时落后的东西']
608,dioxide,daɪˈɒksaɪd,dioxides,,,,,['n. 二氧化物']
609,diplomacy,dɪˈpləʊməsi,diplomacies,,,,,['n. 外交，外交技巧；（处理人际关系的）手腕，策略']
610,diplomat,ˈdɪpləmæt,diplomats,,,,,['n. 外交官，外交家；有手腕的人，善交际的人']
611,disability,ˌdɪsəˈbɪləti,disabilities,,,,,['n. 残疾，缺陷；无能力，障碍；残疾补贴']
612,disabled,dɪsˈeɪb(ə)ld,,,,,,"['adj. 丧失能力的，有残疾的；（活动、组织、设施）与残疾人有关的', 'v. 使丧失能力，使伤残；使不能运转（disable 的过去式和过去分词形式）']"
613,disagree,ˌdɪsəˈɡriː,,disagrees,disagreeing,disagreed,disagreed,['v. 有分歧，意见不合；不一致；不适宜，使……不舒服']
614,disagreement,ˌdɪsəˈɡriːmənt,disagreements,,,,,['n. 分歧，争论；不符，不一致']
615,disappearance,ˌdɪsəˈpɪərəns,disappearances,,,,,['n. 消失，失踪；消亡，灭绝']
616,disappointing,ˌdɪsəˈpɔɪntɪŋ,,,,,,"['adj. 令人失望的，令人扫兴的', 'v. （使）失望（disappoint 的现在分词形式）']"
617,disappointment,ˌdɪsəˈpɔɪntmənt,disappointments,,,,,['n. 失望，沮丧；令人失望的人，让人扫兴的事']
618,disapproval,ˌdɪsəˈpruːv(ə)l,,,,,,['n. 不赞同，反对']
619,disapprove,ˌdɪsəˈpruːv,,disapproves,disapproving,disapproved,disapproved,['v. 不赞成，反对；不批准，否决']
620,disarmament,dɪsˈɑːməmənt,,,,,,['n. 裁减军备']
621,disciplinary,ˌdɪsəˈplɪnəri; ˈdɪsəplɪnəri,,,,,,['adj. 有关纪律的，惩戒性的']
622,disciplined,ˈdɪsəplɪnd,,,,,,"['adj. 训练有素的，遵守纪律的', 'v. 惩罚，处分；训练，管教（discipline 的过去式和过去分词形式）']"
623,disclosure,dɪsˈkləʊʒə(r),disclosures,,,,,['n. 披露，泄密；透露的秘闻，公开的事情']
624,disco,,,,,,,
625,discrimination,dɪˌskrɪmɪˈneɪʃn,discriminations,,,,,['n. 歧视，区别对待；区分，辨别；辨别力，鉴赏力']
626,discussion,dɪˈskʌʃ(ə)n,discussions,,,,,['n. 讨论；论述，详述；谈话，辩论']
627,disgusting,dɪsˈɡʌstɪŋ,,,,,,"['adj. 令人反感的，令人恶心的；令人吃惊的，让人无法接受的', 'v. 使反感，使憎恶；使感到恶心（作呕）（disgust 的现在分词形式）']"
628,disintegration,dɪsˌɪntɪˈɡreɪʃn,,,,,,['n. 分裂，解体；蜕变，衰变']
629,disk,dɪsk,disks,disks,disking,disked,disked,['n. （计算机的）磁盘，磁碟；（计算机的）磁盘，磁碟（=disc）']
630,dismissal,dɪsˈmɪs(ə)l,,,,,,['n. 开除，解雇；不予考虑，摒弃；驳回，不予受理；打发走，遣散；出局']
631,displacement,dɪsˈpleɪsmənt,displacements,,,,,['n. 被迫迁徙，流亡；取代，代替； 排水量；情感转移；电位移']
632,disputable,dɪˈspjuːtəb(ə)l,,,,,,['adj. 有争议的，有待讨论的']
633,disruption,dɪsˈrʌpʃn,disruptions,,,,,['n. 扰乱，中断']
634,distil,dɪˈstɪl,,distils,distilling,distilled,distilled,['v. 蒸馏，用蒸馏法提取；提炼，升华；散发']
635,distinguishable,dɪˈstɪŋɡwɪʃəbl,,,,,,['adj. 区别得开的；可辨认的，可辨识的']
636,distortion,dɪˈstɔːʃ(ə)n,distortions,,,,,['n. 歪曲，曲解；变形，失真']
637,distraction,dɪˈstrækʃn,distractions,,,,,['n. 使人分心的事物，干扰；分心的事物，干扰；消遣，娱乐；心烦意乱']
638,distressful,dɪˈstresfəl,,,,,,['adj. 苦恼的，不幸的']
639,distribution,ˌdɪstrɪˈbjuːʃn,distributions,,,,,['n. 分发；分销，配送；（电影在各院线的）发行，上映；分配，分布']
640,distributive,dɪˈstrɪbjətɪv,,,,,,"['adj. 分发的，分配的，配送的；经销的，分销的；分配（律）的；个体的（而非整体的）', 'n. （语法）分配词']"
641,diversify,daɪˈvɜːsɪfaɪ,,diversifies,diversifying,diversified,diversified,['v. （使）多样化，（使）不同；扩大经营范围，增加……的品种；（投资）多元化；null']
642,divisive,dɪˈvaɪsɪv,,,,,,['adj. 有争议的，造成分裂的']
643,doctoral,ˈdɒktərəl,,,,,,['adj. 博士的，博士学位的']
644,dole,,,,,,,
645,dolphin,ˈdɒlfɪn,dolphins,,,,,"['n. 海豚', 'n. （Dolphin）人名；（英）多尔芬']"
646,dominance,ˈdɒmɪnəns,,,,,,['n. 优势，支配地位']
647,donation,dəʊˈneɪʃ(ə)n,donations,,,,,['n. 捐赠物，捐赠，赠送']
648,dormitory,ˈdɔːmətri,dormitories,,,,,"['n. 集体宿舍；<美>（学院或大学的）学生宿舍楼；<英>（为在附近城市里工作的人提供的）住宅城，郊外居住区', 'adj. <英>（供在另一个城市工作的人）住宅的']"
649,dosage,ˈdəʊsɪdʒ,dosages,,,,,['n. 剂量，用量']
650,double,ˈdʌb(ə)l,doubles,doubles,doubling,doubled,doubled,"['adj. 两倍的，双的；供两人用的；双重的；（花）重瓣的；（多米诺骨牌）两边点数相同的；低八度的', 'adv. 两倍地', 'v. 加倍；对折；击出二垒安打；兼任；握紧；兼奏，重复（一个音符）', 'n. 两倍，两倍量；酷似的人；替身演员；卧室；双打；双料冠军；一杯双份的烈酒；（掷镖游戏中的）得双倍分的一掷；（掷骰子游戏中的）两骰子点数相同的一掷；（赛马中的）复式下注；（棒球比赛中的）二垒打', 'det. 是……两倍', 'pron. 双倍数（或量）', '【名】 （Double）（美）杜布勒（人名）']"
651,doubtful,ˈdaʊtfl,,,,,,['adj. 怀疑的，不确定的；未必的，不大可能的；不可靠的']
652,doubtless,ˈdaʊtləs,,,,,,"['adv. 无疑地，肯定地', 'adj. 无疑的，肯定的']"
653,dough,dəʊ,doughs,,,,,['n. 生面团；<旧>钱']
654,downgrade,ˌdaʊnˈɡreɪd,downgrades,downgrades,downgrading,downgraded,downgraded,"['v. 使降级，使降职；贬低，轻视', 'n. 退步，下降；下坡', 'adj. 下坡的', 'adv. 下坡地']"
655,download,ˌdaʊnˈləʊd,downloads,downloads,downloading,downloaded,downloaded,"['v. 下载', 'n. 下载，下载的文件或程序']"
656,downstairs,ˌdaʊnˈsteəz,,,,,,"['adv. 顺楼梯而下，往楼下；在楼下', 'adj.  在楼下的，在底楼的', 'n. 楼下（尤指地面的一层），下面的几层楼']"
657,downwards,ˈdaʊnwədz,,,,,,['adv. 向下地，下降地']
658,dramatically,drəˈmætɪkli,,,,,,['adv. 剧烈地，明显地；戏剧性地，夸张地']
659,drastically,ˈdræstɪkli; ˈdrɑːstɪkli,,,,,,['adv. （动作或变化）猛烈地，力度大地 ；极其，非常']
660,dreadful,ˈdredf(ə)l,,,,,,['adj. 糟糕透顶的，极其讨厌的；极端的，极度的；非常疲惫的，非常沮丧的；可怕的，令人畏惧的']
661,dreamy,ˈdriːmi,,,,,,['adj. 恍惚的，出神的；轻柔的，梦幻的；不切实际的，爱空想的；美妙的，极好的']
662,dressing,ˈdresɪŋ,dressings,,,,,"['n. （拌制色拉用的）调料；馅，填料；（保护伤口的）敷料；穿衣，打扮；肥料', 'v. 给……穿衣服；打扮（dress 的现在分词形式）']"
663,dropout,ˈdrɒpaʊt,,,,,,"['n. 辍学者；隐士，遁世者；（英橄）以踢抛踢球重新开始开赛；信息漏失，信息失落；U形槽', 'adj. 辍学的']"
664,drunkard,ˈdrʌŋkəd,drunkards,,,,,['n. 酒鬼，酗酒者']
665,drunken,ˈdrʌŋkən,,,,,,['adj. 醉酒的，酗酒的；酒醉引起的，与酒醉有关的']
666,dryer,ˈdraɪə(r),dryers,,,,,"['n. 烘干机；干燥剂，催干剂', '【名】 （Dryer）（英）德赖尔（人名）']"
667,dub,dʌb,dubs,dubs,dubbing,dubbed,dubbed,"['v. 把……称为，给……起绰号；配音；封……为爵士；<英>混合录音；拷贝（电影、音乐等）；装上（假蝇）作钓饵；在（皮革）上涂油，给（皮革）加脂', 'n. 强节拍诗歌；配音，配乐；新手，技术不熟练者', '【名】 （Dub）（美、乌克兰）杜布（人名）']"
668,duly,ˈdjuːli,,,,,,"['adv. 适当地，恰当地；按时地，适时地；不出所料地', '【名】 （Duly）（英）杜利（人名）']"
669,duplication,ˌdjuːplɪˈkeɪʃn,,,,,,['n. 复制，复印；重复；成倍，成双；副本，复制品；（染色体中DNA的）重复段']
670,durability,ˌdjʊərəˈbɪləti,,,,,,['n. 持久性，耐用性']
671,dusty,ˈdʌsti,,,,,,"['adj. 布满灰尘的；土灰色的；缺乏活力的，枯燥无味的；尘般的，粉状的；不明确的，不能令人满意的', '【名】 （Dusty）（美）杜史迪（人名）']"
672,dweller,ˈdwelə(r),,,,,,['n. 居民，居住者']
673,dying,ˈdaɪɪŋ,,,,,,"['adj. 临终的，垂死的；消亡的，没落的；最后的，快要结束的；垂死之人（the dying）', 'v. 死亡；消失；变低，变弱（die 的现在分词形式）']"
674,dynamics,daɪˈnæmɪks,,,,,,['n. 动力学，力学；动力；（乐曲的）力度变化；（团体或体系内部的）变革动力']
675,earnings,ˈɜːnɪŋz,,,,,,['n. 薪水，工资，收入；利润，收益']
676,easily,ˈiːzəli,,,,,,['adv. 容易地；很可能，多半；无疑；轻松自如地；更快，更经常']
677,easter,ˈiːstə(r),,,,,,['n. 复活节']
678,easy-going,ˌiːzi ˈɡəʊɪŋ,,,,,,['adj. 随和的，不慌不忙的']
679,ecological,ˌiːkəˈlɒdʒɪkl,,,,,,['adj. 生态的，生态学的；主张生态保护的']
680,economist,ɪˈkɒnəmɪst,economists,,,,,['n. 经济学家']
681,ecosystem,ˈiːkəʊsɪstəm,ecosystems,,,,,['n. 生态系统']
682,educational,ˌedʒuˈkeɪʃən(ə)l,,,,,,['adj. 教育的；有教育意义的']
683,educator,ˈedʒukeɪtə(r),educators,,,,,['n. 教育工作者，教师；教育家']
684,egg,eɡ,,,,,,"['n. （鸟类的）卵，蛋；（尤指用作食品的）蛋，鸡蛋；卵子，卵细胞；<非正式>人，家伙', 'v. 煽动，怂恿', '【名】 （Egg）（英、法）埃格（人名）']"
685,eggplant,ˈeɡplɑːnt,eggplants,,,,,['n. <美>茄子（=aubergine）；深紫色']
686,egoist,,,,,,,
687,eight,eɪt,,,,,,"['num. 八；八个；第八；八岁；八点', 'adj. 八的', 'n. 八人划船队']"
688,eighteen,ˌeɪˈtiːn,eighteens,,,,,"['n. 十八，十八个', 'adj. 十八个的，十八的', 'num. 十八']"
689,eighth,eɪtθ,eighths,,,,,"['adj. 第八的；八分之一的', 'num. 第八；八分之一']"
690,eighty,ˈeɪti,eighties,,,,,"['n. 八十；八十岁；八十年代', 'adj. 八十的，八十个的；八十岁的', 'num. 八十']"
691,ejection,ɪˈdʒekʃ(ə)n,ejections,,,,,['n. 驱逐，弹出；（火山等的）喷出物，射出物']
692,elasticity,ˌiːlæˈstɪsəti,elasticities,,,,,['n. 弹性，弹力；灵活性']
693,election,ɪˈlekʃ(ə)n,elections,,,,,['n. 选举；当选；选举权；上帝的选拔']
694,elective,ɪˈlektɪv,electives,,,,,"['adj. 选举的，由选举产生的；可选择的；有选举权的', 'n. 选修课']"
695,electoral,,,,,,,
696,electric,ɪˈlektrɪk,electrics,,,,,"['adj. 电的；令人激动的；电子扩音的', 'n. 电路系统；电气交通工具']"
697,electronically,ɪˌlekˈtrɒnɪkli,,,,,,['adv. 用电子方法，用电子装置']
698,electronics,ɪˌlekˈtrɒnɪks,,,,,,['n. 电子学；电子设备，电子器件']
699,elegance,ˈelɪɡəns,elegances,,,,,['n. 优雅，雅致；简练']
700,elevation,ˌelɪˈveɪʃ(ə)n,elevations,,,,,['n. 高度，海拔；立面，立视图；提拔，提升；增加，升高；高地，高处；（枪炮的）射角，仰角；空中动作技巧']
701,eleven,ɪˈlev(ə)n,elevens,,,,,"['n. 十一；十一个', 'adj. 十一的；十一个的', 'num. 十一；十一个']"
702,eligibility,ˌelɪdʒəˈbɪləti,,,,,,['n. 资格，合格']
703,elimination,ɪˌlɪmɪˈneɪʃn,eliminations,,,,,['n. 消除，排除；淘汰；消灭，铲除；排泄']
704,email,ˈiːmeɪl,,,,,,"['n. 电子邮件（通信方式）；电子邮件', 'v. 给（某人）发电子邮件', '【名】 （Email）（法）埃马伊（人名）']"
705,emancipation,ɪˌmænsɪˈpeɪʃ(ə)n,,,,,,['n. 解放']
706,embarrassment,ɪmˈbærəsmənt,embarrassments,,,,,['n. 尴尬，难堪；使人难堪的人（或事）；拮据，经济困难；（可供挑选的）众多事物']
707,embroidery,ɪmˈbrɔɪdəri,embroideries,,,,,['n. 刺绣技法，刺绣活儿；绣花，刺绣品；夸张之词，渲染成分']
708,emergence,ɪˈmɜːdʒəns,,,,,,['n. 出现，显现；崭露头角；摆脱困境']
709,emigrant,,,,,,,
710,emigration,ˌemɪˈɡreɪʃn,emigrations,,,,,['n. 移居外国，迁移出境；移民']
711,emission,ɪˈmɪʃ(ə)n,emissions,,,,,"['n. 排放物，散发物；（尤指光、热、气等的）散发，排放；射精，遗精；<古>发行', '【名】 （Emission)（英）埃米申（人名）']"
712,emotional,ɪˈməʊʃən(ə)l,,,,,,['adj. 情感的，情绪的；激动人心的，有感染力的；情绪激动的（尤指哭泣），情感流露的；（人）易动感情的，感情用事的']
713,emphasise,ˈemfəsaɪz,,emphasises,emphasising,emphasised,emphasised,['vt. （英）强调；加强……的语气（等于 emphasize）']
714,emphasize,ˈemfəsaɪz,,emphasizes,emphasizing,emphasized,emphasized,['v. 强调，着重；重读（单词或短语）；使突出（或明显）']
715,empress,ˈemprəs,empresses,,,,,['n. 皇后，女皇']
716,emptiness,ˈemptinəs,,,,,,['n. 空虚；空，无；空地；不真诚']
717,emulation,ˌemjuˈleɪʃn,,,,,,['n. 仿效，模仿；仿真；<古>竞争']
718,enactment,ɪˈnæktmənt,enactments,,,,,['n. （法律的）制定，通过；表演，上演；法令，通过的法律；展现，付诸行动']
719,encouragement,ɪnˈkʌrɪdʒmənt,encouragements,,,,,['n. 鼓励']
720,encouraging,ɪnˈkʌrɪdʒɪŋ,,,,,,"['adj. 鼓舞人心的，鼓励的', 'v. 鼓励，激励；鼓动，怂恿，支持；刺激，促进（encourage 的现在分词形式）']"
721,encyclopaedia,ɪnˌsaɪkləˈpiːdiə,encyclopedias,,,,,['n. 百科全书']
722,endanger,ɪnˈdeɪndʒə(r),,endangers,endangering,endangered,endangered,['v. 使处于险境，危及']
723,endeavour,ɪnˈdevə(r),endeavours,endeavours,endeavouring,endeavoured,endeavoured,"['v. 努力，尽力', 'n. 努力，尝试；事业，活动']"
724,endless,ˈendləs,,,,,,['adj. 无止境的，无穷尽的；永久的，无休止的；两端连接的，环状的']
725,endorsement,ɪnˈdɔːsmənt,endorsements,,,,,['n. 背书，票据签字；（驾驶执照上的）违章记录；（说明不予理赔或变更细节的）保险单附加条款；赞同，支持；（为某产品或服务所做的）宣传，代言']
726,endowment,ɪnˈdaʊmənt,endowments,,,,,['n. （给院校、医院等的）捐款，资助；天赋，才能；定期人寿保险']
727,energetically,ˌenəˈdʒetɪkli,,,,,,['adv. 精力充沛地']
728,enforcement,ɪnˈfɔːsmənt,,,,,,['n. 执行，实施']
729,enhancement,ɪnˈhɑːnsmənt,enhancements,,,,,['n. 增加，增强，改善']
730,enjoy,ɪnˈdʒɔɪ,,enjoys,enjoying,enjoyed,enjoyed,['v. 享受，欣赏，喜爱；过得愉快，玩得开心（enjoy oneself）；享有，拥有；<美，非正式>请尽情享用； <美，非正式>请尽情享用']
731,enjoyable,ɪnˈdʒɔɪəbl,,,,,,['adj. 令人愉快的，有乐趣的']
732,enjoyment,ɪnˈdʒɔɪmənt,enjoyments,,,,,['n. 乐趣，乐事；享受，享有']
733,enlightenment,ɪnˈlaɪtnmənt,,,,,,['n. 启迪，指导，教导；启蒙运动（the Enlightenment）；（佛教）般若，智慧']
734,enough,ɪˈnʌf,,,,,,"['adj. 充足的，足够的', 'pron. 足够，充分', 'adv. 充分地，足够地；相当，很；说来奇怪，说起来有趣（strangely/interestingly enough）', 'n. 足够的（数目或数量），充分', 'int. 够了，别再说了']"
735,enquiry,ɪnˈkwaɪəri,enquires,,,,,['n. 询问，查问；官方调查；问讯处']
736,enrol,ɪnˈrəʊl,,enrolls,enrolling,enrolled,enrolled,['v. （使）加入，注册；把（契约或其他文件）归入法院档案；<古>卷起']
737,enrollment,ɪnˈrəʊlmənt,,,,,,['n. 登记；入伍']
738,enrolment,ɪnˈrəʊlmənt,enrolments,,,,,['n. 登记，注册，入学；登记人数，注册人数，入学人数']
739,enterprising,ˈentəpraɪzɪŋ,,,,,,['adj. 有事业心的，有进取心的；有魄力的，有胆量的']
740,entertaining,ˌentəˈteɪnɪŋ,,,,,,"['adj. 使人愉快的，娱乐性的', 'n. 招待客户，宴请', 'v. 使有兴趣，使快乐；心存，怀有（想法、希望、感觉等）；招待，请客（entertain 的现在分词形式）']"
741,enthusiast,ɪnˈθjuːziæst,enthusiasts,,,,,['n. 热衷者，爱好者；热烈支持者，热情赞成者；<古>基督教狂热分子']
742,enthusiastically,ɪnˌθjuːziˈæstɪkli,,,,,,['adv. 热心地，满腔热情地']
743,entrepreneurial,ˌɒntrəprəˈnɜːriəl,,,,,,['adj. 具有企业家素质的，富于企业家精神的']
744,envelop,ɪnˈveləp,,envelops,enveloping,enveloped,enveloped,['v. 覆盖，包住']
745,envious,ˈenviəs,,,,,,['adj. 羡慕的，忌妒的']
746,environmental,ɪnˌvaɪrənˈment(ə)l,,,,,,['adj. 自然环境的，生态环境的；环保的，生态环境保护的；与周围环境有关的，由生存环境引起的']
747,environmentalist,ɪnˌvaɪrənˈmentəlɪst,environmentalists,,,,,"['n. 环境保护主义者，环境保护论者；环境艺术家', 'adj. 环境论（者）的']"
748,envoy,ˈenvɔɪ,envoys,,,,,['n. 使者，使节，（谈判等的）代表；公使（级别在大使之下）']
749,equally,ˈiːkwəli,,,,,,['adv. （程度）相当地，同样地；平均地，相等地；（用于补充观点）同样（重要）地']
750,equitable,ˈekwɪtəb(ə)l,,,,,,['adj. 公平合理的，公正的；衡平法上有效的']
751,equivalence,ɪˈkwɪvələns,,,,,,['n. 相等，对等']
752,eradication,ɪˌrædɪˈkeɪʃn,,,,,,['n. 根除，消灭']
753,eraser,ɪˈreɪzə(r),erasers,,,,,['n. 橡皮擦，黑板擦']
754,erection,ɪˈrekʃn,erections,,,,,['n. 建造，竖起；建筑物，竖立物；勃起']
755,erode,ɪˈrəʊd,,erodes,eroding,eroded,eroded,['v. 侵蚀，腐蚀；削弱，降低']
756,erosive,ɪˈrəʊsɪv,,,,,,['adj. 侵蚀的，腐蚀的']
757,eruption,ɪˈrʌpʃn,eruptions,,,,,['n. 喷发；（战争、怒气等的）爆发；发疹']
758,escalator,ˈeskəleɪtə(r),escalators,,,,,['n. 自动扶梯，电动扶梯']
759,essayist,ˈeseɪɪst,essayists,,,,,['n. 论说文作家，杂文作家，散文家']
760,esthetic,iːsˈθetɪk,,,,,,"['adj. 美感的，美学的；带来美感的，外观悦目的', 'n. 美学（esthetics）；美学原则；审美观；艺术美']"
761,esthetics,iːsˈθetɪks,,,,,,['n. 美学']
762,estimation,ˌestɪˈmeɪʃn,estimations,,,,,['n. 估计，估算；判断，评价；尊重，尊敬']
763,eternity,ɪˈtɜːnəti,eternities,,,,,['n. 无穷无尽的时间；永恒，永久；永生；未来，来世；死']
764,ethic,ˈeθɪk,ethics,,,,,"['n. 行为准则，道德规范，伦理标准；信仰', 'adj. （与）道德规范（有关）的，（与）伦理（有关）的（=ethical）']"
765,euro,,,,,,,
766,evacuation,ɪˌvækjuˈeɪʃn,evacuations,,,,,['n. 撤离，疏散；（粪便等的）排泄；排空，清除']
767,evaporation,ɪˌvæpəˈreɪʃn,,,,,,['n. 蒸发']
768,evening,ˈiːvnɪŋ,evenings,,,,,"['n. 晚上，傍晚；晚会，晚间活动；暮年，晚年', 'int. 晚上好（good evening 的简称）', 'adj. 在晚上的，为晚上的']"
769,evenly,ˈiːvnli,,,,,,['adv. 平均地，均等地；平稳地，有规律地；镇定地，平和地；获胜机会相当地，势均力敌地']
770,eventful,ɪˈventf(ə)l,,,,,,['adj. 充满大事的，多变故的；重大的，重要的']
771,eventual,ɪˈventʃuəl,,,,,,['adj. 最终的，结局的；<古>有条件的']
772,eventuality,ɪˌventʃuˈæləti,eventualities,,,,,['n. 可能出现的情况，不测事件']
773,every,ˈevri,,,,,,"['det. 每个，每一；每……之中的；每隔，每逢（表频率）；所有可能的，完全可能的', '【名】 （Every）（美、荷、瑞典）埃夫里（人名）']"
774,everybody,ˈevribɒdi,,,,,,['pron. 每个人，人人']
775,everyday,ˈevrideɪ,,,,,,"['adj. 日常的，每天的', 'adv. 每天，天天']"
776,everyone,ˈevriwʌn,,,,,,['pron. 每个人；人人']
777,everything,ˈevriθɪŋ,,,,,,"['pron. 每件事物，（有关的）一切，万事；形势，情况；最重要的东西', 'n. （Everything）（印、美、澳）艾维辛（人名）']"
778,everywhere,ˈevriweə(r),,,,,,"['adv. 到处', 'n. 每个地方']"
779,evolutionary,ˌiːvəˈluːʃən(ə)ri,,,,,,['adj. 进化论的，进化的；演变的，逐步发展的']
780,examination,ɪɡˌzæmɪˈneɪʃ(ə)n,examinations,,,,,['n. 考试；审查，调查；医学检查；<法律>讯问，查问']
781,examinee,ɪɡˌzæmɪˈniː,examinees,,,,,['n. 应试人，参加考试者；受检查（或审查、查询的人）']
782,examiner,ɪɡˈzæmɪnə(r),examiners,,,,,['n. 考官，主考人；审查人，检查人']
783,excellence,ˈeksələns,excellences,,,,,['n. 杰出，卓越；<古>优点，美德']
784,except,ɪkˈsept,,excepts,excepting,excepted,excepted,"['prep. 除……外，不包括', 'conj. 除了，只是；要不是', 'v. 不包括，把……排除在外']"
785,exclamatory,ɪkˈsklæmətri; ekˈsklæmətri,,,,,,['adj. 惊呼的，感叹的']
786,exclusion,ɪkˈskluːʒ(ə)n,exclusions,,,,,['n. 排斥，排除在外；被排除在外的人（或事物）；认为不可能；（合约中的）除外事项；<英>开除学籍']
787,execution,ˌeksɪˈkjuːʃ(ə)n,executions,,,,,['n. 执行，实施，完成；处决，死刑；表演，制作；政治谋杀；没收债务人财产，扣押债务人；（法律文书或命令的）执行']
788,exemption,ɪɡˈzempʃn,exemptions,,,,,['n. 免除，豁免；免税，免税额']
